SYMBOL,SYMBOLDESC,KITETOKENID,SEGMENT,EXCHANGE,NEOTOKENID
ADANIENSOL-EQ,ADANI ENERGY SOLUTION LTD,2615553,EQ,NSE,10217
ADANIENT-EQ,ADANI ENTERPRISES LIMITED,6401,EQ,NSE,25
ADANIGREEN-EQ,ADANI GREEN ENERGY LTD,912129,EQ,NSE,3563
ADANIPORTS-EQ,ADANI PORT & SEZ LTD,3861249,EQ,NSE,15083
ADANIPOWER-EQ,ADANI POWER LTD,4451329,EQ,NSE,17388
APOLLOTYRE-EQ,APOLLO TYRES LTD,41729,EQ,NSE,163
DMART-EQ,AVENUE SUPERMARTS LIMITED,5097729,EQ,NSE,19913
HDFCBANK-EQ,HDFC BANK LTD,341249,EQ,NSE,1333
INFY-EQ,INFOSYS LIMITED,408065,EQ,NSE,1594
KOTAKBANK-EQ,KOTAK MAHINDRA BANK LTD,492033,EQ,NSE,1922
SUZLON-EQ,SUZLON ENERGY LIMITED,3076609,EQ,NSE,12018
TCS-EQ,TATA CONSULTANCY SERV LT,2953217,EQ,NSE,11536
TATAMOTORS-EQ,TATA MOTORS LIMITED,884737,EQ,NSE,3456
TATAPOWER-EQ,TATA POWER CO LTD,877057,EQ,NSE,3426
TATASTEEL-EQ,TATA STEEL LIMITED,895745,EQ,NSE,3499
